Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,SalePrice
1,60,RL,65,8450,Pave,,Reg,Lvl,208500
2,20,RL,80,9600,Pave,,Reg,Lvl,181500
3,60,RL,68,11250,Pave,,IR1,Lvl,223500
4,70,RL,60,9550,Pave,,IR1,Lvl,140000
5,60,RL,84,14260,Pave,,IR1,Lvl,250000
6,50,RL,85,14115,Pave,,IR1,Lvl,143000
7,20,RL,75,10084,Pave,,Reg,Lvl,307000
8,60,RL,,10382,Pave,,IR1,Lvl,200000
9,50,RM,51,6120,Pave,,Reg,Lvl,129900
10,190,RL,50,7420,Pave,,Reg,Lvl,118000
11,20,RL,70,11200,Pave,,Reg,Lvl,129500
12,60,RL,85,11924,Pave,,IR1,Lvl,345000
13,20,RL,,12968,Pave,,IR2,Lvl,144000
14,20,RL,91,10652,Pave,,IR1,Lvl,279500
15,20,RL,,10920,Pave,,IR1,Lvl,157000
16,45,RM,51,6120,Pave,,Reg,Lvl,132000
17,20,RL,,11241,Pave,,IR1,Lvl,149000
18,90,RL,72,10791,Pave,,Reg,Lvl,90000
19,20,RL,66,13695,Pave,,Reg,Lvl,159000
20,20,RL,70,7560,Pave,,Reg,Lvl,139000
21,60,RL,101,14215,Pave,,IR1,Lvl,325300
22,45,RM,57,7449,Pave,Grvl,Reg,Bnk,139400
23,20,RL,75,9742,Pave,,Reg,Lvl,230000
24,120,RM,44,4224,Pave,,Reg,Lvl,129900
25,20,RL,,8246,Pave,,IR1,Lvl,154000
26,20,RL,110,14230,Pave,,Reg,Lvl,256300
27,20,RL,60,7200,Pave,,Reg,Lvl,134800
28,20,RL,98,11478,Pave,,Reg,Lvl,306000
29,20,RL,47,16321,Pave,,IR1,Lvl,207500
30,30,RM,60,6324,Pave,,IR1,Lvl,68500
31,70,C (all),50,8500,Pave,Pave,Reg,Lvl,40000
32,20,RL,,8544,Pave,,IR1,Lvl,149350
33,20,RL,85,11049,Pave,,Reg,Lvl,179900
34,20,RL,70,10552,Pave,,IR1,Lvl,165500
35,120,RL,60,7313,Pave,,Reg,Lvl,277500
36,60,RL,108,13418,Pave,,Reg,Lvl,309000
37,20,RL,112,10859,Pave,,Reg,Lvl,145000
38,20,RL,74,8532,Pave,,Reg,Lvl,153000
39,20,RL,68,7922,Pave,,Reg,Lvl,109000
40,90,RL,65,6040,Pave,,Reg,Lvl,82000
41,20,RL,84,8658,Pave,,Reg,Lvl,160000
42,20,RL,115,16905,Pave,,Reg,Lvl,170000
43,85,RL,,9180,Pave,,IR1,Lvl,144000
44,20,RL,,9200,Pave,,IR1,Lvl,130250
45,20,RL,70,7945,Pave,,Reg,Lvl,141000
46,120,RL,61,7658,Pave,,Reg,Lvl,319900
47,50,RL,48,12822,Pave,,IR1,Lvl,239686
48,20,FV,84,11096,Pave,,Reg,Lvl,249700
49,190,RM,33,4456,Pave,,Reg,Lvl,113000
50,20,RL,66,7742,Pave,,Reg,Lvl,127000
51,60,RL,,13869,Pave,,IR2,Lvl,177000
52,50,RM,52,6240,Pave,,Reg,Lvl,114500
53,90,RM,110,8472,Grvl,,IR2,Bnk,110000
54,20,RL,68,50271,Pave,,IR1,Low,385000
55,80,RL,60,7134,Pave,,Reg,Bnk,130000
56,20,RL,100,10175,Pave,,IR1,Lvl,180500
57,160,FV,24,2645,Pave,Pave,Reg,Lvl,172500
58,60,RL,89,11645,Pave,,IR1,Lvl,196500
59,60,RL,66,13682,Pave,,IR2,HLS,438780
60,20,RL,60,7200,Pave,,Reg,Bnk,124900
61,20,RL,63,13072,Pave,,Reg,Lvl,158000
62,75,RM,60,7200,Pave,,Reg,Lvl,101000
63,120,RL,44,6442,Pave,,IR1,Lvl,202500
